,0
0,Daily Gross
1,"$45,579,056"
2,"$33,841,369"
3,"$23,245,556"
4,"$8,540,357"
5,"$11,356,003"
6,"$13,663,451"
7,"$10,314,742"
8,"$21,263,932"
9,"$20,215,233"
10,"$10,525,430"
11,"$2,546,218"
12,Daily Gross
13,"$3,102,455"
14,"$2,186,352"
15,"$2,131,846"
16,"$5,664,847"
17,"$8,301,010"
18,"$4,891,690"
19,"$1,365,908"
20,"$1,790,383"
21,"$1,380,282"
22,"$1,284,836"
23,"$3,306,775"
24,"$5,021,834"
25,"$3,084,707"
26,"$1,022,526"
27,"$1,256,386"
28,"$1,030,120"
29,"$875,470"
30,"$1,543,423"
31,"$2,299,127"
32,"$1,850,133"
33,"$1,203,588"
34,"$1,433,638"
35,"$1,324,378"
36,"$819,796"
37,"$1,502,628"
38,"$2,059,324"
39,"$1,715,876"
40,"$1,345,163"
41,"$1,358,613"
42,"$1,303,498"
43,"$1,021,162"
44,Daily Gross
45,"$1,740,412"
46,"$1,846,722"
47,"$1,029,140"
48,"$388,171"
49,"$360,573"
50,"$288,529"
51,"$248,942"
52,"$589,238"
53,"$982,061"
54,"$535,588"
55,"$145,352"
56,"$177,198"
57,"$149,363"
58,"$128,458"
59,"$296,944"
60,"$488,485"
61,"$346,707"
62,"$288,580"
63,"$92,096"
64,"$65,653"
65,"$67,741"
66,"$129,071"
67,"$242,755"
68,"$105,557"
69,"$37,623"
70,"$48,229"
71,"$41,143"
72,"$38,038"
73,"$73,002"
74,"$129,801"
75,"$67,241"
76,Daily Gross
77,"$19,592"
78,"$22,687"
79,"$18,508"
80,"$15,452"
81,"$49,735"
82,"$86,955"
83,"$25,537"
84,"$13,632"
85,"$15,542"
86,"$13,461"
87,"$13,851"
88,"$71,287"
89,"$122,885"
90,"$114,198"
91,"$61,608"
92,"$26,509"
93,"$21,231"
94,"$22,984"
95,"$51,702"
96,"$88,932"
97,"$52,236"
98,"$13,428"
99,"$14,978"
100,"$14,102"
101,"$15,336"
