,0
0,Daily Gross
1,"$35,978,348"
2,"$21,287,029"
3,"$12,372,363"
4,"$4,515,245"
5,"$6,012,635"
6,"$7,964,881"
7,"$5,231,976"
8,"$10,873,923"
9,"$10,260,707"
10,"$5,209,402"
11,Daily Gross
12,"$1,475,274"
13,"$1,476,433"
14,"$1,328,233"
15,"$1,368,897"
16,"$4,553,665"
17,"$5,341,803"
18,"$3,151,254"
19,"$935,827"
20,"$925,863"
21,"$909,301"
22,"$921,636"
23,"$2,578,934"
24,"$3,391,784"
25,"$1,980,413"
26,"$712,928"
27,"$774,687"
28,"$787,223"
29,"$913,235"
30,"$1,605,078"
31,"$2,011,947"
32,"$1,572,294"
33,"$1,353,262"
34,"$1,299,727"
35,"$515,072"
36,"$991,486"
37,"$1,597,674"
38,"$1,668,542"
39,"$1,476,216"
40,"$1,302,932"
41,"$1,297,039"
42,"$747,807"
43,Daily Gross
44,"$1,601,232"
45,"$1,765,559"
46,"$1,787,778"
47,"$1,095,305"
48,"$432,295"
49,"$411,695"
50,"$400,205"
51,"$439,745"
52,"$899,148"
53,"$1,201,121"
54,"$741,583"
55,"$231,168"
56,"$241,286"
57,"$251,648"
58,"$292,867"
59,"$494,637"
60,"$712,420"
61,"$535,863"
62,"$376,862"
63,"$142,316"
64,"$143,436"
65,"$177,897"
66,"$274,113"
67,"$428,706"
68,"$275,799"
69,"$78,491"
70,"$85,326"
71,"$85,901"
72,"$109,656"
73,"$194,122"
74,"$297,392"
75,"$132,322"
76,"$55,848"
77,"$64,978"
78,"$62,474"
79,"$73,862"
80,"$134,224"
81,"$215,134"
82,"$131,030"
83,"$39,311"
84,"$40,324"
85,"$39,635"
86,"$54,621"
87,"$168,881"
88,"$305,835"
89,"$218,681"
90,"$137,909"
91,"$64,947"
92,"$63,423"
93,"$71,976"
94,"$143,813"
95,"$211,543"
96,"$134,326"
97,"$43,047"
98,"$46,314"
99,"$45,610"
100,"$54,905"
101,"$134,137"
102,"$208,917"
103,"$132,738"
104,"$50,803"
105,"$61,883"
106,"$57,573"
107,"$62,246"
108,"$108,365"
109,"$152,903"
110,"$88,717"
111,"$32,046"
112,"$34,029"
113,"$35,242"
114,"$45,089"
115,"$75,804"
116,"$114,485"
117,"$69,528"
118,"$32,457"
119,"$30,248"
120,"$34,924"
121,"$39,815"
122,"$55,343"
123,"$50,740"
124,"$26,831"
125,"$9,195"
126,"$10,548"
127,"$9,177"
128,"$9,737"
129,"$12,952"
130,"$18,238"
131,"$11,244"
132,"$3,673"
133,"$4,011"
134,Daily Gross
135,Daily Gross
136,"$3,772"
137,"$4,483"
138,Daily Gross
139,"$1,304,440"
