,0
0,Daily Gross
1,"$70,950,136"
2,"$52,619,106"
3,"$34,505,044"
4,"$12,321,722"
5,"$15,960,309"
6,"$20,808,110"
7,"$14,951,629"
8,"$31,570,448"
9,"$28,401,259"
10,"$14,207,894"
11,"$3,402,550"
12,"$4,009,955"
13,"$3,017,817"
14,"$2,938,977"
15,"$7,775,778"
16,"$11,922,878"
17,"$6,487,230"
18,"$1,943,642"
19,"$2,372,675"
20,"$1,855,493"
21,"$1,809,345"
22,"$4,105,897"
23,"$5,746,555"
24,"$3,819,214"
25,"$1,319,589"
26,"$1,523,606"
27,"$1,243,105"
28,"$1,363,833"
29,"$2,504,972"
30,"$3,401,489"
31,"$2,858,018"
32,"$2,278,758"
33,"$1,358,828"
34,"$2,528,150"
35,"$3,039,832"
36,"$3,433,033"
37,"$3,696,908"
38,"$2,931,538"
39,"$2,489,456"
40,"$2,051,927"
41,Daily Gross
42,Daily Gross
43,"$2,880,321"
44,"$1,681,364"
45,"$2,442,811"
46,"$3,046,351"
47,"$1,562,147"
48,"$563,827"
49,"$669,249"
50,"$523,378"
51,"$496,498"
52,"$1,208,094"
53,"$2,083,464"
54,"$1,091,650"
55,"$293,939"
56,"$353,654"
57,"$290,785"
58,"$285,555"
59,"$631,065"
60,"$1,144,419"
61,"$675,697"
62,"$568,638"
63,"$162,541"
64,"$147,604"
65,"$152,212"
66,"$397,638"
67,"$748,096"
68,"$394,215"
69,"$105,753"
70,"$127,436"
71,"$102,798"
72,"$110,640"
73,"$277,459"
74,Daily Gross
75,"$510,404"
76,"$152,229"
77,"$82,349"
78,"$101,080"
79,"$77,796"
80,"$80,924"
81,"$164,611"
82,"$323,340"
83,"$172,717"
84,"$50,119"
85,"$49,477"
86,"$30,029"
87,"$34,741"
88,"$172,457"
89,"$216,383"
90,"$146,772"
91,"$91,417"
92,"$36,591"
93,"$33,901"
94,"$34,176"
95,"$88,305"
96,"$151,895"
97,"$78,926"
98,"$20,040"
99,"$25,208"
100,"$22,924"
101,"$24,610"
102,"$49,403"
103,Daily Gross
104,"$91,994"
105,"$44,645"
106,"$15,814"
107,"$17,984"
108,"$14,436"
109,"$16,143"
110,"$34,692"
111,"$56,419"
112,"$27,306"
113,"$10,583"
114,"$13,284"
115,"$10,276"
116,"$11,478"
117,"$60,219"
118,"$87,990"
119,"$57,041"
120,"$18,740"
121,"$22,023"
122,"$19,703"
123,"$17,983"
124,"$32,250"
125,"$50,667"
126,"$31,981"
127,"$11,217"
128,"$13,455"
129,"$12,618"
130,"$12,286"
131,"$18,218"
132,"$28,714"
133,"$16,591"
134,"$5,175"
135,Daily Gross
136,"$6,040"
137,"$5,382"
138,"$5,873"
