,0
0,Daily Gross
1,"$58,175,412"
2,"$22,011,215"
3,"$26,820,572"
4,"$29,234,224"
5,"$21,780,931"
6,"$9,924,409"
7,"$9,511,151"
8,"$7,518,238"
9,"$6,857,479"
10,"$9,334,221"
11,"$11,192,996"
12,"$8,934,970"
13,"$4,023,172"
14,"$4,019,368"
15,"$4,582,395"
16,"$3,842,107"
17,"$5,375,629"
18,Daily Gross
19,"$6,755,356"
20,"$5,778,400"
21,"$2,518,379"
22,"$2,420,240"
23,"$2,192,352"
24,"$2,117,068"
25,"$2,581,839"
26,"$3,475,562"
27,"$2,870,948"
28,"$1,291,373"
29,"$1,316,315"
30,"$1,153,422"
31,"$1,128,210"
32,"$1,455,046"
33,"$2,045,072"
34,"$1,640,954"
35,"$737,247"
36,"$759,364"
37,"$696,426"
38,"$688,313"
39,"$971,679"
40,"$1,435,899"
41,"$1,070,571"
42,"$406,226"
43,"$406,395"
44,"$388,204"
45,"$352,303"
46,"$639,772"
47,"$1,122,277"
48,"$704,374"
49,"$228,130"
50,Daily Gross
51,"$221,140"
52,"$197,003"
53,"$207,770"
54,"$402,844"
55,"$682,469"
56,"$742,827"
57,"$674,108"
58,"$128,230"
59,"$97,144"
60,"$96,478"
61,"$219,124"
62,"$433,453"
63,"$255,905"
64,"$71,452"
65,"$73,222"
66,"$77,408"
67,"$82,526"
68,"$102,477"
69,"$204,954"
70,"$119,556"
71,"$33,476"
72,"$31,802"
73,"$27,350"
74,"$27,076"
75,"$69,662"
76,"$121,458"
77,"$80,710"
78,"$23,437"
79,"$20,458"
80,"$21,276"
81,Daily Gross
82,"$23,680"
83,"$44,593"
84,"$80,313"
85,"$50,472"
86,"$15,387"
87,"$13,848"
88,"$13,526"
89,"$15,961"
90,"$107,182"
91,"$176,520"
92,"$124,735"
93,"$61,869"
94,"$39,335"
95,"$38,785"
96,"$40,835"
97,"$79,275"
98,"$122,906"
99,"$71,160"
100,"$21,348"
101,"$21,588"
102,"$19,897"
103,"$22,085"
104,"$52,884"
105,"$79,083"
106,"$49,835"
107,"$12,958"
108,"$14,001"
109,"$12,961"
110,"$14,982"
111,"$31,471"
112,"$34,101"
113,"$36,893"
114,"$10,699"
115,"$11,555"
116,"$10,398"
117,"$12,597"
118,"$23,974"
119,"$37,933"
120,"$22,819"
121,"$7,259"
122,"$9,162"
123,"$15,691"
124,"$7,592"
125,"$15,693"
126,"$28,928"
127,"$17,289"
128,"$5,433"
129,"$5,025"
130,"$6,669"
131,"$4,535"
132,"$10,310"
133,"$15,873"
134,"$8,951"
135,"$3,690"
136,"$4,454"
137,"$6,486"
138,"$5,101"
139,"$12,941"
140,"$14,025"
141,"$7,858"
142,"$2,505"
143,Daily Gross
144,Daily Gross
145,"$2,630"
146,"$1,495"
147,"$2,963"
148,"$4,881"
149,"$7,897"
150,"$5,269"
151,"$1,074"
152,$816
153,$936
154,$955
155,"$1,476"
156,"$2,341"
157,"$1,333"
158,$454
159,$703
160,$493
161,$567
