,0
0,Daily Gross
1,"$71,167,839"
2,"$41,443,147"
3,"$28,456,648"
4,"$10,090,710"
5,"$11,772,338"
6,"$12,779,287"
7,"$8,014,701"
8,"$17,546,033"
9,"$17,016,976"
10,"$9,078,439"
11,"$2,553,058"
12,"$2,721,622"
13,"$2,384,280"
14,"$2,157,426"
15,"$5,500,983"
16,Daily Gross
17,"$7,525,548"
18,"$4,389,831"
19,"$1,214,476"
20,"$1,442,037"
21,"$1,137,336"
22,"$1,142,049"
23,"$2,833,704"
24,"$3,969,977"
25,"$2,352,584"
26,"$712,174"
27,"$856,928"
28,"$712,401"
29,"$717,537"
30,"$1,484,807"
31,"$2,256,236"
32,"$1,395,031"
33,"$523,728"
34,"$608,154"
35,"$494,274"
36,"$553,435"
37,"$761,511"
38,"$1,009,828"
39,"$855,616"
40,"$346,262"
41,"$461,249"
42,"$583,553"
43,"$656,023"
44,"$776,327"
45,"$858,047"
46,"$724,915"
47,"$383,828"
48,Daily Gross
49,"$604,980"
50,"$377,388"
51,"$351,025"
52,"$450,531"
53,"$603,679"
54,"$322,860"
55,"$102,106"
56,"$106,604"
57,"$92,914"
58,"$94,598"
59,"$175,500"
60,"$298,159"
61,"$174,472"
62,"$48,339"
63,"$55,126"
64,"$49,094"
65,"$49,755"
66,"$85,026"
67,"$146,459"
68,"$102,287"
69,"$69,217"
70,"$25,243"
71,"$22,359"
72,"$24,341"
73,"$51,897"
74,"$105,831"
75,"$63,006"
76,"$17,970"
77,"$16,915"
78,"$16,221"
79,"$18,295"
80,Daily Gross
81,"$41,298"
82,"$69,495"
83,"$25,895"
84,"$11,647"
85,"$12,568"
86,"$11,203"
87,"$12,272"
88,"$24,745"
89,"$48,652"
90,"$26,408"
91,"$8,591"
92,"$7,586"
93,"$7,147"
94,"$40,909"
95,"$69,171"
96,"$119,061"
97,"$97,481"
98,"$59,585"
99,"$25,602"
100,"$22,709"
101,"$23,316"
102,"$56,725"
103,"$97,418"
104,"$58,647"
105,"$15,247"
106,"$15,432"
107,"$15,418"
108,"$15,610"
109,Daily Gross
110,"$34,378"
111,"$50,700"
112,"$28,917"
113,"$6,904"
114,"$6,425"
115,"$6,092"
116,"$6,393"
