,0
0,Daily Gross
1,"$61,684,550"
2,"$38,226,254"
3,"$25,106,568"
4,"$8,785,460"
5,"$10,264,353"
6,"$14,425,863"
7,"$11,475,980"
8,"$20,832,651"
9,"$18,728,940"
10,"$9,525,510"
11,"$2,339,162"
12,"$2,278,481"
13,Daily Gross
14,"$1,935,386"
15,"$1,891,483"
16,"$4,801,767"
17,"$7,446,074"
18,"$4,770,634"
19,"$1,138,366"
20,"$1,279,219"
21,"$1,129,638"
22,"$1,122,066"
23,"$2,397,340"
24,"$3,751,487"
25,"$2,335,489"
26,"$721,128"
27,"$803,098"
28,"$727,307"
29,"$777,003"
30,"$1,320,555"
31,"$2,080,471"
32,"$1,621,335"
33,"$963,017"
34,"$1,122,149"
35,"$903,132"
36,"$1,106,371"
37,"$709,399"
38,"$1,070,674"
39,"$1,396,275"
40,"$1,437,671"
41,"$1,394,297"
42,"$1,487,698"
43,"$1,567,215"
44,"$1,348,611"
45,Daily Gross
46,"$1,871,362"
47,"$1,431,726"
48,"$625,496"
49,"$448,002"
50,"$361,183"
51,"$340,476"
52,"$643,008"
53,"$1,069,215"
54,"$641,175"
55,"$171,343"
56,"$188,434"
57,"$184,321"
58,"$198,400"
59,"$346,442"
60,"$580,245"
61,"$472,517"
62,"$349,873"
63,"$104,116"
64,"$91,623"
65,"$93,413"
66,"$231,627"
67,"$448,222"
68,"$218,422"
69,"$70,012"
70,"$72,421"
71,"$62,103"
72,"$77,259"
73,"$137,347"
74,"$282,448"
75,"$181,134"
76,"$41,473"
77,Daily Gross
78,"$38,156"
79,"$40,590"
80,"$44,125"
81,"$96,819"
82,"$197,542"
83,"$79,017"
84,"$30,607"
85,"$30,525"
86,"$31,440"
87,"$36,470"
88,"$110,926"
89,"$213,252"
90,"$140,974"
91,"$64,849"
92,"$40,855"
93,"$39,630"
94,"$42,007"
95,"$85,429"
96,"$150,615"
97,"$123,001"
98,"$87,344"
99,"$32,842"
100,"$30,872"
101,"$33,341"
102,"$62,255"
103,"$109,134"
104,"$68,228"
105,"$17,931"
106,Daily Gross
107,"$19,116"
108,"$19,057"
109,"$21,825"
110,"$36,290"
111,"$72,715"
112,"$49,418"
113,"$13,343"
114,"$12,676"
115,"$11,916"
116,"$14,656"
117,"$27,359"
118,"$42,002"
119,"$29,494"
120,"$10,183"
121,"$11,914"
122,"$10,961"
123,"$11,549"
124,"$19,243"
125,"$28,455"
126,"$19,437"
127,"$7,969"
128,"$7,571"
129,"$7,390"
130,"$8,129"
131,"$15,553"
132,"$25,721"
133,"$17,531"
134,"$8,065"
135,"$6,136"
136,"$6,381"
137,"$7,857"
138,Daily Gross
139,"$10,165"
140,"$15,697"
141,"$10,919"
142,"$5,098"
143,"$6,117"
144,"$4,465"
145,"$4,956"
