,0
0,Daily Gross
1,"$72,703,754"
2,"$42,288,881"
3,"$27,846,502"
4,"$10,506,486"
5,"$11,328,695"
6,"$14,198,803"
7,"$9,204,544"
8,"$17,711,264"
9,"$16,523,369"
10,"$8,635,398"
11,"$2,386,972"
12,Daily Gross
13,"$2,394,975"
14,"$2,100,986"
15,"$2,104,795"
16,"$5,114,239"
17,"$6,480,523"
18,"$3,832,866"
19,"$1,029,730"
20,"$1,076,293"
21,"$905,831"
22,"$985,677"
23,"$2,440,591"
24,"$3,438,395"
25,"$2,081,408"
26,"$703,152"
27,"$736,890"
28,"$708,427"
29,"$721,275"
30,"$1,387,458"
31,"$1,641,835"
32,"$1,378,305"
33,"$971,582"
34,"$1,050,161"
35,"$903,460"
36,"$394,977"
37,"$662,171"
38,"$1,247,837"
39,"$1,134,251"
40,"$956,936"
41,"$954,488"
42,"$995,998"
43,"$642,212"
44,Daily Gross
45,"$1,289,766"
46,"$1,378,404"
47,"$774,093"
48,"$314,436"
49,"$279,094"
50,"$250,356"
51,"$240,929"
52,"$481,226"
53,"$757,167"
54,"$465,416"
55,"$128,808"
56,"$141,559"
57,"$135,582"
58,"$151,183"
59,"$249,698"
60,"$384,824"
61,"$294,417"
62,"$205,480"
63,"$74,547"
64,"$70,114"
65,"$81,959"
66,"$131,744"
67,"$236,368"
68,"$145,913"
69,"$47,746"
70,"$51,365"
71,"$51,542"
72,"$53,753"
73,"$114,087"
74,"$194,616"
75,"$126,842"
76,Daily Gross
77,"$41,133"
78,"$40,768"
79,"$40,602"
80,"$40,032"
81,"$76,867"
82,"$141,868"
83,"$57,662"
84,"$29,383"
85,"$28,106"
86,"$27,670"
87,"$33,392"
88,"$123,369"
89,"$219,681"
90,"$215,663"
91,"$129,673"
92,"$52,860"
93,"$51,551"
94,"$50,476"
95,"$106,280"
96,"$171,847"
97,"$104,333"
98,"$30,275"
99,"$30,165"
100,"$30,237"
101,"$33,832"
102,"$75,566"
103,"$133,013"
104,"$80,469"
105,Daily Gross
106,"$22,844"
107,"$25,192"
108,"$25,098"
109,"$28,465"
110,"$54,276"
111,"$87,606"
112,"$46,163"
113,"$15,130"
114,"$15,635"
115,"$15,533"
116,"$20,223"
117,"$33,664"
118,"$51,003"
119,"$29,289"
120,"$14,170"
121,"$15,946"
122,"$12,801"
123,"$15,361"
124,"$23,548"
125,"$19,409"
126,"$9,515"
127,"$3,249"
128,"$3,181"
129,"$3,520"
130,"$4,150"
131,"$4,172"
132,"$5,363"
133,"$2,599"
134,$937
135,"$1,177"
136,"$1,024"
137,Daily Gross
138,"$1,192"
