,0
0,Daily Gross
1,"$68,533,840"
2,Daily Gross
3,"$24,211,138"
4,"$28,153,316"
5,"$23,420,629"
6,"$13,258,246"
7,"$18,805,051"
8,"$10,567,862"
9,"$8,781,208"
10,"$7,931,087"
11,"$11,068,640"
12,"$12,288,703"
13,"$8,351,095"
14,"$4,328,214"
15,"$4,510,548"
16,"$3,722,137"
17,"$3,439,703"
18,"$4,463,845"
19,"$5,134,441"
20,"$3,822,194"
21,"$2,036,463"
22,"$2,088,612"
23,"$1,835,913"
24,"$1,888,207"
25,"$2,352,457"
26,"$2,760,065"
27,"$2,073,648"
28,"$1,082,620"
29,"$1,153,384"
30,"$1,063,719"
31,"$1,057,969"
32,"$1,281,786"
33,"$1,536,393"
34,"$1,196,774"
35,"$648,451"
36,"$696,754"
37,"$642,498"
38,"$623,998"
39,"$724,136"
40,"$899,381"
41,"$666,745"
42,"$389,276"
43,"$386,851"
44,"$340,325"
45,"$344,472"
46,"$399,428"
47,"$493,359"
48,"$386,863"
49,"$214,712"
50,"$211,187"
51,"$191,448"
52,"$190,143"
53,"$175,179"
54,"$228,615"
55,"$163,070"
56,"$75,817"
57,"$75,445"
58,"$71,270"
59,"$73,769"
60,"$148,672"
61,"$217,338"
62,"$148,643"
63,"$59,479"
64,"$60,019"
65,Daily Gross
66,Daily Gross
67,"$53,347"
68,"$52,624"
69,"$113,557"
70,"$163,477"
71,"$157,086"
72,"$111,125"
73,"$30,685"
74,"$30,495"
75,"$30,753"
76,"$217,967"
77,"$327,270"
78,"$198,228"
79,"$63,033"
80,"$65,317"
81,"$61,125"
82,"$71,256"
83,"$60,524"
84,"$92,789"
85,"$55,164"
86,"$17,339"
87,"$17,089"
88,"$17,947"
89,"$18,884"
90,"$36,037"
91,"$54,961"
92,"$33,411"
93,"$10,086"
94,"$11,028"
95,"$10,373"
96,"$12,717"
97,Daily Gross
98,"$19,626"
99,"$30,888"
100,"$18,758"
101,"$5,929"
102,"$5,996"
103,"$6,671"
104,"$7,954"
105,"$12,586"
106,"$16,178"
107,"$9,249"
108,"$5,632"
109,"$3,708"
110,"$3,728"
111,"$4,906"
112,"$9,297"
113,"$13,007"
114,"$6,056"
115,"$2,126"
116,"$2,076"
117,"$1,888"
118,"$2,548"
