date,rank
7-Nov-10,9
14-Nov-10,5
21-Nov-10,5
28-Nov-10,3
5-Dec-10,3
12-Dec-10,4
19-Dec-10,3
26-Dec-10,4
2-Jan-11,6
9-Jan-11,7
16-Jan-11,9
23-Jan-11,9
30-Jan-11,7
5-Feb-11,8
12-Feb-11,10
19-Feb-11,
26-Feb-11,
5-Mar-11,10
12-Mar-11,9
19-Mar-11,10
26-Mar-11,
2-Apr-11,
9-Apr-11,
16-Apr-11,10
23-Apr-11,9
30-Apr-11,7
7-May-11,8
14-May-11,
21-May-11,5
28-May-11,6
4-Jun-11,7
11-Jun-11,
18-Jun-11,8
25-Jun-11,5
2-Jul-11,3
9-Jul-11,3
16-Jul-11,2
23-Jul-11,2
30-Jul-11,2
6-Aug-11,2
13-Aug-11,2
20-Aug-11,3
27-Aug-11,3
3-Sep-11,5
10-Sep-11,5
17-Sep-11,5
24-Sep-11,7
1-Oct-11,9
8-Oct-11,10
15-Oct-11,10
22-Oct-11,
29-Oct-11,
5-Nov-11,
12-Nov-11,8
19-Nov-11,4
26-Nov-11,8
3-Dec-11,5
10-Dec-11,6
17-Dec-11,6
24-Dec-11,7
31-Dec-11,
7-Jan-12,
14-Jan-12,
21-Jan-12,
28-Jan-12,
4-Feb-12,
11-Feb-12,8
18-Feb-12,9
25-Feb-12,8
3-Mar-12,6
10-Mar-12,7
17-Mar-12,
24-Mar-12,
31-Mar-12,8
7-Apr-12,
14-Apr-12,
21-Apr-12,10
28-Apr-12,
5-May-12,
12-May-12,
19-May-12,
26-May-12,
2-Jun-12,
9-Jun-12,
16-Jun-12,
23-Jun-12,
30-Jun-12,
7-Jul-12,
14-Jul-12,
21-Jul-12,
28-Jul-12,10
4-Aug-12,
11-Aug-12,
18-Aug-12,10
25-Aug-12,
1-Sep-12,
8-Sep-12,
15-Sep-12,
22-Sep-12,
29-Sep-12,
6-Oct-12,
13-Oct-12,
20-Oct-12,
27-Oct-12,
3-Nov-12,
10-Nov-12,
17-Nov-12,
24-Nov-12,6
1-Dec-12,
8-Dec-12,
15-Dec-12,
22-Dec-12,10
29-Dec-12,
5-Jan-13,
12-Jan-13,
19-Jan-13,
26-Jan-13,
2-Feb-13,
9-Feb-13,
16-Feb-13,
23-Feb-13,
2-Mar-13,
9-Mar-13,
16-Mar-13,
23-Mar-13,
30-Mar-13,
6-Apr-13,
13-Apr-13,
20-Apr-13,
27-Apr-13,
4-May-13,
11-May-13,
18-May-13,
25-May-13,
1-Jun-13,
8-Jun-13,
15-Jun-13,
22-Jun-13,
29-Jun-13,
6-Jul-13,
13-Jul-13,
20-Jul-13,
27-Jul-13,
3-Aug-13,
10-Aug-13,
17-Aug-13,
24-Aug-13,
31-Aug-13,9
7-Sep-13,
14-Sep-13,10
21-Sep-13,
28-Sep-13,
5-Oct-13,
12-Oct-13,
19-Oct-13,
26-Oct-13,
2-Nov-13,10
9-Nov-13,
16-Nov-13,9
23-Nov-13,9
30-Nov-13,6
7-Dec-13,6
14-Dec-13,7
21-Dec-13,7
28-Dec-13,9
4-Jan-14,10
11-Jan-14,
18-Jan-14,
25-Jan-14,
1-Feb-14,10
8-Feb-14,
15-Feb-14,
22-Feb-14,
1-Mar-14,
8-Mar-14,
15-Mar-14,
22-Mar-14,
29-Mar-14,
5-Apr-14,
12-Apr-14,
19-Apr-14,
26-Apr-14,
3-May-14,8
10-May-14,
17-May-14,
24-May-14,
31-May-14,
7-Jun-14,
14-Jun-14,
21-Jun-14,
28-Jun-14,
5-Jul-14,
12-Jul-14,9
19-Jul-14,8
26-Jul-14,6
2-Aug-14,9
9-Aug-14,
16-Aug-14,
23-Aug-14,
30-Aug-14,
6-Sep-14,
13-Sep-14,
20-Sep-14,
27-Sep-14,
4-Oct-14,
11-Oct-14,
18-Oct-14,
25-Oct-14,
1-Nov-14,
8-Nov-14,
15-Nov-14,
22-Nov-14,
29-Nov-14,8
6-Dec-14,9
13-Dec-14,10
20-Dec-14,9
27-Dec-14,
3-Jan-15,
10-Jan-15,
17-Jan-15,
24-Jan-15,
31-Jan-15,
7-Feb-15,
14-Feb-15,
21-Feb-15,9
28-Feb-15,10
7-Mar-15,5
14-Mar-15,9
21-Mar-15,9
28-Mar-15,7
4-Apr-15,
11-Apr-15,
18-Apr-15,4
25-Apr-15,8
2-May-15,6
9-May-15,7
16-May-15,
23-May-15,
30-May-15,9
6-Jun-15,4
13-Jun-15,4
20-Jun-15,5
27-Jun-15,
4-Jul-15,6
11-Jul-15,3
18-Jul-15,3
25-Jul-15,4
1-Aug-15,2
8-Aug-15,2
15-Aug-15,5
22-Aug-15,6
29-Aug-15,8
5-Sep-15,9
12-Sep-15,8
19-Sep-15,9
26-Sep-15,6
3-Oct-15,4
10-Oct-15,1
17-Oct-15,2
24-Oct-15,2
31-Oct-15,3
7-Nov-15,3
14-Nov-15,5
21-Nov-15,4
28-Nov-15,2
5-Dec-15,2
12-Dec-15,2
19-Dec-15,2
26-Dec-15,2
2-Jan-16,3
9-Jan-16,2
16-Jan-16,2
23-Jan-16,1
30-Jan-16,2
6-Feb-16,3
13-Feb-16,2
20-Feb-16,3
27-Feb-16,2
5-Mar-16,1
12-Mar-16,2
19-Mar-16,3
26-Mar-16,3
2-Apr-16,2
9-Apr-16,2
16-Apr-16,2
23-Apr-16,1
30-Apr-16,2
7-May-16,2
14-May-16,3
21-May-16,1
28-May-16,3
4-Jun-16,2
11-Jun-16,2
18-Jun-16,3
25-Jun-16,2
2-Jul-16,2
9-Jul-16,2
16-Jul-16,3
23-Jul-16,1
30-Jul-16,1
6-Aug-16,1
13-Aug-16,1
