,0,1,2,3,4,5,6,7,8
5,1,American Sniper,WB,"$350,126,372",3885,"$633,456",4,12/25,6/25
6,2,The Hunger Games: Mockingjay - Part 1,LGF,"$337,135,885",4151,"$121,897,634",4151,11/21,3/19
7,3,Guardians of the Galaxy,BV,"$333,176,600",4088,"$94,320,883",4080,8/1,1/22
8,4,Captain America: The Winter Soldier,BV,"$259,766,572",3938,"$95,023,721",3938,4/4,8/21
9,5,The LEGO Movie,WB,"$257,760,692",3890,"$69,050,279",3775,2/7,9/4
10,6,The Hobbit: The Battle of the Five Armies,WB (NL),"$255,119,788",3875,"$54,724,334",3875,12/17,4/2
11,7,Transformers: Age of Extinction,Par.,"$245,439,076",4233,"$100,038,390",4233,6/27,10/9
12,8,Maleficent,BV,"$241,410,378",3948,"$69,431,298",3948,5/30,12/4
13,9,X-Men: Days of Future Past,Fox,"$233,921,534",4001,"$90,823,660",3996,5/23,10/9
14,10,Big Hero 6,BV,"$222,527,828",3773,"$56,215,889",3761,11/7,5/28
