,0,1,2,3,4,5,6,7,8
5,1,Star Wars: The Force Awakens,BV,"$936,662,225",4134,"$247,966,675",4134,12/18,6/2
6,2,Jurassic World,Uni.,"$652,270,625",4291,"$208,806,270",4274,6/12,11/19
7,3,Avengers: Age of Ultron,BV,"$459,005,868",4276,"$191,271,109",4276,5/1,10/8
8,4,Inside Out,BV,"$356,461,711",4158,"$90,440,272",3946,6/19,12/10
9,5,Furious 7,Uni.,"$353,007,020",4022,"$147,187,040",4004,4/3,7/24
10,6,Minions,Uni.,"$336,045,770",4311,"$115,718,405",4301,7/10,12/17
11,7,The Hunger Games: Mockingjay - Part 2,LGF,"$281,723,902",4175,"$102,665,981",4175,11/20,2/25
12,8,The Martian,Fox,"$228,433,663",3854,"$54,308,575",3831,10/2,3/17
13,9,Cinderella (2015),BV,"$201,151,353",3848,"$67,877,361",3845,3/13,9/17
14,10,Spectre,Sony,"$200,074,609",3929,"$70,403,148",3929,11/6,4/7
