,0,1,2,3,4,5,6,7,8
5,1,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219",4375,"$169,189,427",4375,7/15,11/24
6,2,Transformers: Dark of the Moon,P/DW,"$352,390,543",4088,"$97,852,865",4088,6/29,10/13
7,3,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133",4066,"$138,122,261",4061,11/18,2/23
8,4,The Hangover Part II,WB,"$254,464,305",3675,"$85,946,294",3615,5/26,9/15
9,5,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802",4164,"$90,151,958",4155,5/20,9/29
10,6,Fast Five,Uni.,"$209,837,675",3793,"$86,198,765",3644,4/29,8/11
11,7,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903",3555,"$12,785,204",425,12/16,4/12
12,8,Cars 2,BV,"$191,452,396",4115,"$66,135,507",4115,6/24,12/15
13,9,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418",3703,"$39,637,079",3703,12/16,4/5
14,10,Thor,Par.,"$181,030,624",3963,"$65,723,338",3955,5/6,8/25
