,0,1,2,3,4,5,6,7,8
5,1,The Hunger Games: Catching Fire,LGF,"$424,668,047",4163,"$158,074,286",4163,11/22,4/3
6,2,Iron Man 3,BV,"$409,013,994",4253,"$174,144,585",4253,5/3,9/12
7,3,Frozen,BV,"$400,738,009",3742,"$243,390",1,11/22,7/17
8,4,Despicable Me 2,Uni.,"$368,061,265",4003,"$83,517,315",3997,7/3,1/16
9,5,Man of Steel,WB,"$291,045,518",4207,"$116,619,362",4207,6/14,9/19
10,6,Gravity,WB,"$274,092,705",3820,"$55,785,112",3575,10/4,5/8
11,7,Monsters University,BV,"$268,492,764",4004,"$82,429,469",4004,6/21,12/19
12,8,The Hobbit: The Desolation of Smaug,WB (NL),"$258,366,855",3928,"$73,645,197",3903,12/13,4/17
13,9,Fast & Furious 6,Uni.,"$238,679,850",3771,"$97,375,245",3658,5/24,9/5
14,10,Oz The Great and Powerful,BV,"$234,911,825",3912,"$79,110,453",3912,3/8,7/18
